time,env_t,obj_t
00:00:00,21.67,-0.73
00:00:01,21.65,-0.93
00:00:02,21.71,-1.01
00:00:03,21.67,-0.97
00:00:04,21.67,-1.09
00:00:05,21.65,-1.09
00:00:06,21.71,-1.01
00:00:07,21.67,-0.81
00:00:08,21.65,-0.81
00:00:09,21.63,-0.73
00:00:10,21.63,-0.65
00:00:11,21.65,-0.45
00:00:12,21.67,-0.53
00:00:13,21.67,-0.61
00:00:14,21.67,-0.61
00:00:15,21.65,-0.65
00:00:16,21.65,-0.85
00:00:18,21.67,-0.85
00:00:19,21.71,-0.85
00:00:20,21.67,-0.93
00:00:21,21.67,-0.97
00:00:22,21.67,-1.01
00:00:23,21.67,-1.09
00:00:24,21.67,-0.85
00:00:25,21.71,-0.73
00:00:26,21.67,-0.77
00:00:27,21.71,-0.73
00:00:28,21.67,-0.81
00:00:29,21.67,-0.81
00:00:30,21.65,-0.69
00:00:31,21.71,-0.77
00:00:32,21.67,-0.81
00:00:33,21.67,-0.81
00:00:34,21.65,-0.61
00:00:35,21.71,-0.65
00:00:36,21.71,-0.61
00:00:37,21.65,-0.65
00:00:38,21.67,-0.53
00:00:39,21.71,-0.53
00:00:40,21.67,-0.57
00:00:41,21.67,-0.65
00:00:42,21.73,-0.61
00:00:43,21.73,-0.65
00:00:44,21.71,-0.97
00:00:45,21.71,-0.93
00:00:46,21.71,-1.17
00:00:47,21.71,-0.97
00:00:49,21.67,-0.97
00:00:50,21.71,-0.81
00:00:51,21.65,-0.85
00:00:52,21.67,-0.81
00:00:53,21.65,-0.81
00:00:54,21.71,-0.73
00:00:55,21.67,-0.77
00:00:56,21.65,-0.85
00:00:57,21.71,-0.81
00:00:58,21.71,-0.81
00:00:59,21.67,-0.85
00:01:00,21.67,-0.93
00:01:01,21.65,-0.97
00:01:02,21.71,-0.89
00:01:03,21.67,-0.89
00:01:04,21.71,-0.85
00:01:05,21.71,-0.77
00:01:06,21.71,-0.69
00:01:07,21.67,-0.69
00:01:08,21.67,-0.81
00:01:09,21.65,-0.85
00:01:10,21.67,-0.85
00:01:11,21.67,-0.97
00:01:12,21.71,-0.89
00:01:13,21.65,-0.89
00:01:14,21.67,-1.01
